L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9407,30.1848,53.2744,0.363446,1.28128,1.22156,84.5512,0.00264245,6.90306,6.99257,34.7026,0.336612,0.547515,0.542244,8.50742,0.000370505,2.118,1.51459,19.2155,3.76871
37.9391,30.1832,53.2742,0.503315,1.28528,1.22555,84.564,0.00174377,6.90146,6.99103,34.7024,0.476481,0.551511,0.546227,8.5202,0.000436275,2.11751,1.51289,19.1739,3.75823
37.9401,30.1842,53.2746,0.525035,1.29038,1.23045,84.6052,0.00471968,6.90247,6.99201,34.7028,0.498201,0.556612,0.551134,8.56142,0.000822916,2.1162,1.51259,19.0715,3.75639
37.9411,30.1852,53.2747,0.562931,1.29294,1.23299,84.5794,0.00480905,6.90345,6.99297,34.7029,0.536097,0.559169,0.553667,8.53556,0.00130265,2.1167,1.5121,19.1116,3.75333
37.9446,30.1887,53.2731,0.551242,1.29338,1.23412,84.5002,0.0043786,6.90698,6.99652,34.7013,0.524408,0.559612,0.554794,8.4564,0.00129246,2.1186,1.51217,19.2666,3.7538
37.9465,30.1906,53.2724,0.621049,1.29244,1.23342,84.4657,0.00402424,6.90887,6.99839,34.7006,0.594216,0.558674,0.554095,8.42194,0.00125228,2.11948,1.51127,19.3396,3.74824
37.9441,30.1882,53.273,0.595111,1.29301,1.23379,84.5332,0.00429103,6.90642,6.99596,34.7011,0.568278,0.559238,0.554464,8.48939,0.0014232,2.11781,1.51165,19.2015,3.75055
37.945,30.1891,53.2726,0.620377,1.29372,1.23465,84.4711,0.00455316,6.90731,6.99686,34.7008,0.593543,0.559954,0.555332,8.42731,0.00164446,2.11928,1.51132,19.3228,3.74852
37.9455,30.1896,53.2728,0.611776,1.29425,1.23523,84.4846,0.00483452,6.90783,6.99739,34.7009,0.584942,0.560478,0.555909,8.4408,0.0017739,2.11892,1.51141,19.293,3.74908
37.9478,30.1919,53.2719,0.543943,1.29529,1.23655,84.437,0.00492573,6.91019,6.99973,34.7001,0.517109,0.56152,0.557232,8.39322,0.00128889,2.12002,1.5122,19.3857,3.75396
37.9478,30.1919,53.2719,0.536499,1.29519,1.23643,84.4491,0.00411622,6.91011,6.99968,34.7001,0.509665,0.561422,0.55711,8.4053,0.000975681,2.11975,1.51229,19.3622,3.75454
37.9474,30.1915,53.2724,0.61652,1.29508,1.2361,84.5009,0.0049846,6.90978,6.99929,34.7006,0.589686,0.561317,0.556784,8.45711,0.00080304,2.11847,1.51131,19.2587,3.74845
37.9464,30.1905,53.2719,0.683006,1.29487,1.2361,84.4668,0.00413131,6.90874,6.9983,34.7,0.656172,0.561107,0.556778,8.42304,0.00167174,2.11933,1.51051,19.3261,3.74359
37.9491,30.1932,53.2717,0.652218,1.29488,1.2362,84.437,0.00530887,6.91149,7.00104,34.6999,0.625384,0.561109,0.556883,8.39321,0.00112362,2.12002,1.51083,19.3876,3.74552
37.9498,30.1939,53.2718,0.633324,1.29513,1.23644,84.4629,0.00629071,6.91217,7.00173,34.7,0.60649,0.561359,0.557121,8.41909,0.00247488,2.11936,1.51105,19.3313,3.74685
58.6574,48.2671,55.4596,0.0537681,2.11076,2.01116,85.3984,0.000912659,6.13371,6.28138,34.7169,0,1.10523,1.08421,9.35463,1.10802e-06,2.05878,1.13534,15.9754,3.91287
