Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727662,0,0.111504,6.45376e-06,0.115903,0,1.23285,0.0010195,0.0183202,0,0.0876581,6.36427e-06,, , 0.0678006,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134875,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.36427e-06,0.0585562
2,15.1237,15.1813,11.3421,0.0103618,0.500662,0.504406,3.47523,0.000927432,3.68303,3.74054,9.61558,0.0100483,0.174836,0.17858,2.60678,5.75028e-05,, , 0.53095,6.59864,0.293982,15.1163,9.97854,9.61558,0.0100483,0.0155217,0.205312,0.129148,0.0189567,0.00853657,0.640836,2.60678,5.75028e-05,0.920125
3,4.20645,4.23156,7.2747,0.020812,0.173557,0.17523,2.83018,0.00109013,0.892266,0.917371,6.41653,0.020185,0.0699144,0.0715873,1.10065,0.00013442,, , 0.231833,1.44982,0.127988,5.23262,3.22804,6.41653,0.020185,0.0293457,0.0914835,0.0417726,0.00824558,0.00755516,0.204585,1.10065,0.00013442,1.73961
4,6.17788,6.23455,7.7672,0.0398683,0.277466,0.281067,5.63443,0.000538057,1.10389,1.16056,6.41638,0.0386142,0.134956,0.138557,2.17641,0.000127127,, , 0.46671,1.54823,0.249511,8.74862,4.6985,6.41638,0.0386142,0.0584488,0.180917,0.0761984,0.0163977,0.0118465,0.284231,2.17641,0.000127127,3.46485
5,1.53034,1.5512,7.03816,0.0824807,0.0879262,0.0891289,7.692,0.000968515,0.274638,0.295494,5.50234,0.0799724,0.0483703,0.0495729,0.778165,0.00045471,, , 0.171375,0.307138,0.0916197,6.2831,1.66101,5.50234,0.0799724,0.116473,0.0678737,0.024022,0.00604745,0.017688,0.0855392,0.778165,0.00045471,6.90454
6,2.44625,2.49028,8.43982,0.153727,0.150765,0.15373,15.3304,0.000603318,0.44952,0.493548,5.50245,0.14871,0.0967559,0.0997215,1.50306,0.000485129,, , 0.35255,0.409594,0.180924,11.9572,2.76803,5.50245,0.14871,0.232886,0.137735,0.0467762,0.0119659,0.0313899,0.125166,1.50306,0.000485129,13.8055
7,0.469992,0.471134,9.57558,0.242251,0.0296972,0.030008,49.3662,0.000244348,0.385754,0.386896,0.0130873,0.225165,0.0163715,0.0166823,0.203444,2.71236e-05,, , 0.00986781,0.757676,0.00510665,12.0326,0.287717,0.0130873,0.225165,0.827824,0.0135409,0.0183357,0.00117726,0.107445,0.0520212,0.203444,2.71236e-05,49.0734
8,0.0286163,0.0287528,0.0180447,0.000714929,0.000539251,0.000545338,0.0602466,3.50642e-07,0.00198028,0.00211679,0.00207381,0.000694074,8.73982e-05,9.34849e-05,0.000227484,8.54756e-08,, , 0.00126335,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000694074,0.00101147,7.36671e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,8.54756e-08,0.0599602
Total,37.9446,30.1887,53.2731,0.551242,1.29338,1.23412,84.5002,0.0043786,6.90698,6.99652,34.7013,0.524408,0.559612,0.554794,8.4564,0.00129246,, , 1.83235,11.0806,0.990543,66.3248,24.21,34.7013,0.524408,1.2825,0.710423,0.339823,0.0641601,0.186405,1.4432,8.4564,0.00129246,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1186,0.00819956,1.51217,19.2666,0.0203545,3.7538
