1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.004232,-0.000937,-0.000346,-0.001771,-0.000508,-0.000397,-0.000027,-0.000305,0.026565,0.018530,0.017003,0.017766,0.012883,0.010221,0.004067,0.010107
-0.004612,0.000522,0.000171,-0.000152,0.000100,-0.000098,0.000049,-0.000079,0.026735,0.016141,0.014529,0.016146,0.011368,0.013735,0.006207,0.007229
-0.000018,0.001082,0.000389,0.000304,0.000250,0.000270,0.000073,-0.000031,0.032023,0.020561,0.019010,0.020208,0.014907,0.011928,0.006560,0.008446
0.001465,-0.000309,-0.000287,-0.000098,-0.000321,-0.000111,-0.000035,-0.000031,0.034276,0.017572,0.016467,0.016855,0.017897,0.015434,0.006552,0.009589
-0.000362,-0.001147,-0.000539,-0.000267,-0.000603,-0.000626,-0.000020,0.000122,0.028884,0.019057,0.018527,0.015463,0.019396,0.016158,0.006257,0.009448
0.001429,0.000402,-0.001177,0.000009,-0.000597,-0.000034,-0.000061,-0.000031,0.029375,0.017749,0.017796,0.015114,0.018626,0.016153,0.007633,0.010427
-0.003020,-0.001347,-0.000536,-0.000251,-0.000204,-0.000141,-0.000030,0.000000,0.028071,0.020073,0.019734,0.019138,0.018696,0.016192,0.006955,0.010335
-0.001953,-0.000012,0.000531,0.001138,0.000323,0.000320,0.000047,0.000024,0.032332,0.017138,0.021753,0.020950,0.013913,0.017851,0.007425,0.011719
0.000036,-0.000988,0.000220,-0.000389,0.000200,0.000491,0.000039,0.000000,0.032005,0.019014,0.019664,0.021833,0.019201,0.017205,0.007113,0.007042
0.002478,0.001145,0.000041,0.000458,-0.000119,0.000277,0.000004,0.000043,0.030588,0.018574,0.020276,0.014720,0.019470,0.016664,0.005971,0.011539
-0.001139,-0.000328,-0.000194,-0.000166,0.000171,0.000033,0.000022,-0.000220,0.027355,0.018470,0.020525,0.015498,0.019587,0.011511,0.006274,0.009841
0.004087,0.001119,-0.000235,-0.000212,0.000129,0.000132,0.000029,0.000073,0.030766,0.022103,0.018308,0.020348,0.015571,0.012769,0.007656,0.008950
-0.003201,-0.001215,0.000411,0.000340,-0.000140,0.000340,-0.000016,-0.000116,0.032841,0.020751,0.016396,0.017865,0.014287,0.019076,0.008543,0.010997
-0.001935,0.000983,0.000099,0.001193,-0.000178,0.000179,0.000015,-0.000220,0.025379,0.020825,0.017824,0.020156,0.016189,0.013178,0.008249,0.012289
-0.003906,-0.001132,0.000589,-0.000085,0.000102,0.000462,-0.000018,-0.000275,0.029630,0.016644,0.020000,0.019095,0.019509,0.018958,0.007356,0.011335
